group,C_A,b0,g_B,p,block_factor,sum_K10,sum_K100,sum_K10000,infinite_bound,all_partial_below_bound
SU(2),2,0.04643887583607148,0.8,4,2.0,3.2101424551302093,8.215107571627003,10.12483488589628,10.350891746900368,True
SU(2),2,0.04643887583607148,1.0,4,2.0,6.7768940625531,13.96457747480653,16.019899526444565,16.533268354531824,True
SU(2),2,0.04643887583607148,1.2,4,2.0,12.104037542296624,21.268595001378102,23.412589245379195,24.441506430525827,True
SU(2),2,0.04643887583607148,2.0,4,2.0,54.04264777324572,68.49957454089191,70.78694291187679,78.1330734181273,True
SU(3),3,0.06965831375410722,0.8,4,2.0,2.817723397803597,5.91748704902355,6.8258378848775525,7.037127831266913,True
SU(3),3,0.06965831375410722,1.0,4,2.0,5.730676825333603,9.904228467761223,10.860864869993641,11.35551223635455,True
SU(3),3,0.06965831375410722,1.2,4,2.0,9.93668755804273,15.000841502644967,15.985896726477236,16.985537620350552,True
SU(3),3,0.06965831375410722,2.0,4,2.0,42.23512958826436,49.383884272109746,50.41339051718299,57.4220489454182,True
G2,4,0.09287775167214296,0.8,4,2.0,2.5166136334010605,4.645528439232443,5.175039253121375,5.380245873450185,True
G2,4,0.09287775167214296,1.0,4,2.0,4.986618174813159,7.73087850243127,8.281996089037108,8.766634177265912,True
G2,4,0.09287775167214296,1.2,4,2.0,8.490349176278649,11.714769744053772,12.278371671461555,13.257553215262913,True
G2,4,0.09287775167214296,2.0,4,2.0,35.53183390179523,39.78868247865558,40.37147608877286,47.06653670906365,True
F4,9,0.20897494126232166,0.8,4,2.0,1.6771060101291162,2.3140285914180296,2.425357367202283,2.618775943755638,True
F4,9,0.20897494126232166,1.0,4,2.0,3.1456967351663345,3.8847329121802185,3.9981631155919404,4.451837412118183,True
F4,9,0.20897494126232166,1.2,4,2.0,5.2237102558895145,6.031316741901913,6.145921705605392,7.044245873450183,True
F4,9,0.20897494126232166,2.0,4,2.0,23.35663537084945,24.287010156418194,24.403367508359157,29.807349648472734,True
E6,12,0.2786332550164289,0.8,4,2.0,1.4177485616913872,1.814251729329845,1.877690377107342,2.066481957816728,True
E6,12,0.2786332550164289,1.0,4,2.0,2.6396955992665223,3.086492767006859,3.150836907323937,3.5888780590886373,True
E6,12,0.2786332550164289,1.2,4,2.0,4.402339565534681,4.881520717959614,4.94636753717238,5.801584405087638,True
E6,12,0.2786332550164289,2.0,4,2.0,20.937953052863808,21.472540925223928,21.538132950654504,26.35551223635455,True
E7,18,0.4179498825246433,0.8,4,2.0,1.1084502274012356,1.305199381469888,1.3337665771750602,1.5141879718778188,True
E7,18,0.4179498825246433,1.0,4,2.0,2.0736020849235075,2.2879733956224624,2.3168146858865537,2.7259187060590917,True
E7,18,0.4179498825246433,1.2,4,2.0,3.527156286158312,3.7523407809341283,3.781333155662715,4.558922936725091,True
E7,18,0.4179498825246433,2.0,4,2.0,18.691881474426165,18.934676189406762,18.963891141974045,22.90367482423637,True
E8,30,0.6965831375410723,0.8,4,2.0,0.8186840324559147,0.8966260923073643,0.9070200364073665,1.0723527831266915,True
E8,30,0.6965831375410723,1.0,4,2.0,1.5836231342637044,1.6659655322857554,1.6764197130839056,2.035551223635455,True
E8,30,0.6965831375410723,1.2,4,2.0,2.816493506701918,2.901419692986354,2.9119068855697323,3.5647937620350545,True
E8,30,0.6965831375410723,2.0,4,2.0,17.171836545779893,17.260794798141813,17.271330378018675,20.14220489454182,True
