G,gB,L,p,partial_sum_200k,analytic_infinite_bound,pass
SU3,0.25,2,4,0.6486408283836703,0.6511257647721593,True
SU3,0.25,2,6,0.02034803466002502,0.02046975046162998,True
SU3,0.25,2,8,0.0008503938344866618,0.0008579925322554159,True
SU3,0.25,2,12,2.005139396800547e-06,2.034761855383787e-06,True
SU3,0.25,3,4,0.4100960729451639,0.4122562989618367,True
SU3,0.25,3,6,0.012883589700383384,0.013005079655057396,True
SU3,0.25,3,8,0.0005393838400097688,0.0005469645819815581,True
SU3,0.25,3,12,1.2762728372751224e-06,1.305790096929433e-06,True
SU3,0.25,4,4,0.3254367501683664,0.32751600738607967,True
SU3,0.25,4,6,0.01023561020851332,0.01035694554331499,True
SU3,0.25,4,8,0.0004290576572249059,0.00043662566065895793,True
SU3,0.25,4,12,1.017740618623791e-06,1.0471832500795888e-06,True
SU3,0.35,2,4,1.2755470010965997,1.283556498953432,True
SU3,0.35,2,6,0.07862325785507236,0.07953696837339772,True
SU3,0.35,2,8,0.0064588757128637595,0.006570581596848313,True
SU3,0.35,2,12,5.8841936549839764e-05,6.051156225584564e-05,True
SU3,0.35,3,4,0.8077027269559115,0.8153723459651998,True
SU3,0.35,3,6,0.04995016821396403,0.050860689002868484,True
SU3,0.35,3,8,0.004117498795902729,0.004228685448255092,True
SU3,0.35,3,12,3.776777306340336e-05,3.9425714807949433e-05,True
SU3,0.35,4,4,0.641703396938742,0.6492813744767161,True
SU3,0.35,4,6,0.03977935325913717,0.04068761699919886,True
SU3,0.35,4,8,0.003287066198024671,0.003397884567955406,True
SU3,0.35,4,12,3.0295734584653618e-05,3.194539138195114e-05,True
SU3,0.5,2,4,2.619843432679178,2.6513780590886373,True
SU3,0.5,2,6,0.33151652884071053,0.33923475738607967,True
SU3,0.5,2,8,0.05591950995731767,0.057841209564346616,True
SU3,0.5,2,12,0.0021475766838488447,0.002266701608662998,True
SU3,0.5,3,4,1.6648352475355728,1.6959001958473467,True
SU3,0.5,3,6,0.21213691588948042,0.21980002448091834,True
SU3,0.5,3,8,0.0360320819225481,0.03793542074681972,True
SU3,0.5,3,12,0.0014028287193351972,0.0015202345280057395,True
SU3,0.5,4,4,1.3260577159277909,1.3569390295443187,True
SU3,0.5,4,6,0.16980583801263943,0.17742987869303983,True
SU3,0.5,4,8,0.0289834008190806,0.030873729782173308,True
SU3,0.5,4,12,0.001139232020874256,0.001255421116831499,True
