group_family,rank,dim_g,h_dual,pure_YM_b0,b0_positive,peter_weyl_dense,heat_kernel_positive_semigroup,first_nonzero_laplacian_eigenvalue
A1 / SU(2),1,3,2,0.04643887583607148,True,YES,YES,c_G>0 (group-dependent)
A2 / SU(3),2,8,3,0.06965831375410722,True,YES,YES,c_G>0 (group-dependent)
A3 / SU(4),3,15,4,0.09287775167214296,True,YES,YES,c_G>0 (group-dependent)
B2 / Spin(5),2,10,3,0.06965831375410722,True,YES,YES,c_G>0 (group-dependent)
B3 / Spin(7),3,21,5,0.1160971895901787,True,YES,YES,c_G>0 (group-dependent)
C2 / Sp(2),2,10,3,0.06965831375410722,True,YES,YES,c_G>0 (group-dependent)
C3 / Sp(3),3,21,4,0.09287775167214296,True,YES,YES,c_G>0 (group-dependent)
D4 / Spin(8),4,28,6,0.13931662750821444,True,YES,YES,c_G>0 (group-dependent)
G2,2,14,4,0.09287775167214296,True,YES,YES,c_G>0 (group-dependent)
F4,4,52,9,0.20897494126232166,True,YES,YES,c_G>0 (group-dependent)
E6,6,78,12,0.2786332550164289,True,YES,YES,c_G>0 (group-dependent)
E7,7,133,18,0.4179498825246433,True,YES,YES,c_G>0 (group-dependent)
E8,8,248,30,0.6965831375410723,True,YES,YES,c_G>0 (group-dependent)
