p,q,C2,k_t,k_s,k_t_times_k_s,k_t_plus_s,semigroup_residual
0,0,0.0,1.0,1.0,1.0,1.0,0.0
0,1,1.3333333333333333,0.7971864668291995,0.7358958586482417,0.5866462195100318,0.5866462195100318,0.0
1,0,1.3333333333333333,0.7971864668291995,0.7358958586482417,0.5866462195100318,0.5866462195100318,0.0
0,2,3.3333333333333335,0.5674136687970037,0.46455902036091146,0.2635971381157267,0.2635971381157267,0.0
1,1,3.0,0.6004955788122659,0.5015760690660555,0.301194211912202,0.301194211912202,0.0
2,0,3.3333333333333335,0.5674136687970037,0.46455902036091146,0.2635971381157267,0.2635971381157267,0.0
0,3,6.0,0.3605949401730783,0.25157855305975646,0.09071795328941248,0.09071795328941247,1.3877787807814457e-17
1,2,5.333333333333333,0.40386821017955987,0.2932685119265625,0.1184418290138037,0.1184418290138037,0.0
2,1,5.333333333333333,0.40386821017955987,0.2932685119265625,0.1184418290138037,0.1184418290138037,0.0
3,0,6.0,0.3605949401730783,0.25157855305975646,0.09071795328941248,0.09071795328941247,1.3877787807814457e-17
0,4,9.333333333333334,0.2046064979532424,0.11687308615325605,0.023912992862805307,0.023912992862805304,3.469446951953614e-18
1,3,8.333333333333334,0.24252107463564865,0.14709646739297677,0.035673993347252374,0.035673993347252374,0.0
2,2,8.0,0.2566607769535559,0.15881742610692068,0.04076220397836621,0.04076220397836621,0.0
3,1,8.333333333333334,0.24252107463564865,0.14709646739297677,0.035673993347252374,0.035673993347252374,0.0
4,0,9.333333333333334,0.2046064979532424,0.11687308615325605,0.023912992862805307,0.023912992862805304,3.469446951953614e-18
0,5,13.333333333333334,0.10365712861152782,0.046576150222383414,0.004827949993831437,0.004827949993831437,0.0
1,4,12.0,0.1300287108784259,0.0632917683596407,0.008229747049020027,0.008229747049020023,3.469446951953614e-18
2,3,11.333333333333334,0.14563283308750657,0.07378006788847251,0.01074480031198682,0.010744800311986819,1.734723475976807e-18
3,2,11.333333333333334,0.14563283308750657,0.07378006788847251,0.01074480031198682,0.010744800311986819,1.734723475976807e-18
4,1,12.0,0.1300287108784259,0.0632917683596407,0.008229747049020027,0.008229747049020023,3.469446951953614e-18
5,0,13.333333333333334,0.10365712861152782,0.046576150222383414,0.004827949993831437,0.004827949993831437,0.0
0,6,18.0,0.046887695219988486,0.015922851504511684,0.000746585808376679,0.0007465858083766792,2.168404344971009e-19
1,5,16.333333333333332,0.0622456474435969,0.023361482340773173,0.0014541505935435819,0.0014541505935435817,2.168404344971009e-19
2,4,15.333333333333334,0.07378006788847251,0.029402761906064424,0.0021693377695380265,0.0021693377695380265,0.0
3,3,15.0,0.07808166600115313,0.03174563637806794,0.002478752176666357,0.0024787521766663585,1.3010426069826053e-18
4,2,15.333333333333334,0.07378006788847251,0.029402761906064424,0.0021693377695380265,0.0021693377695380265,0.0
5,1,16.333333333333332,0.0622456474435969,0.023361482340773173,0.0014541505935435819,0.0014541505935435817,2.168404344971009e-19
6,0,18.0,0.046887695219988486,0.015922851504511684,0.000746585808376679,0.0007465858083766792,2.168404344971009e-19
0,7,23.333333333333332,0.018936449547941457,0.004669670966355772,8.842698865988311e-05,8.842698865988302e-05,9.486769009248164e-20
1,6,21.333333333333332,0.0266047191662094,0.00739710429628822,0.00019679788244590912,0.0001967978824459091,2.710505431213761e-20
2,5,20.0,0.033373269960326066,0.010051835744633576,0.0003354626279025115,0.00033546262790251185,3.7947076036992655e-19
3,4,19.333333333333332,0.03737823609018697,0.011717560480041082,0.00043798174202402013,0.00043798174202401997,1.6263032587282567e-19
4,3,19.333333333333332,0.03737823609018697,0.011717560480041082,0.00043798174202402013,0.00043798174202401997,1.6263032587282567e-19
5,2,20.0,0.033373269960326066,0.010051835744633576,0.0003354626279025115,0.00033546262790251185,3.7947076036992655e-19
6,1,21.333333333333332,0.0266047191662094,0.00739710429628822,0.00019679788244590912,0.0001967978824459091,2.710505431213761e-20
7,0,23.333333333333332,0.018936449547941457,0.004669670966355772,8.842698865988311e-05,8.842698865988302e-05,9.486769009248164e-20
0,8,29.333333333333332,0.006828387891830462,0.0011747890649809391,8.021915426770674e-06,8.021915426770674e-06,0.0
1,7,27.0,0.010152858373369754,0.0020092374640700602,2.0399503411171922e-05,2.0399503411171922e-05,0.0
2,6,25.333333333333332,0.013478402806716167,0.002947886910958922,3.9732807214550585e-05,3.973280721455058e-05,6.776263578034403e-21
3,5,24.333333333333332,0.0159760162348507,0.003710210495403875,5.9274383109285766e-05,5.927438310928572e-05,4.743384504624082e-20
4,4,24.0,0.01690746565270528,0.004005847942090417,6.772873649085384e-05,6.772873649085378e-05,6.776263578034403e-20
5,3,24.333333333333332,0.0159760162348507,0.003710210495403875,5.9274383109285766e-05,5.927438310928572e-05,4.743384504624082e-20
6,2,25.333333333333332,0.013478402806716167,0.002947886910958922,3.9732807214550585e-05,3.973280721455058e-05,6.776263578034403e-21
7,1,27.0,0.010152858373369754,0.0020092374640700602,2.0399503411171922e-05,2.0399503411171922e-05,0.0
8,0,29.333333333333332,0.006828387891830462,0.0011747890649809391,8.021915426770674e-06,8.021915426770674e-06,0.0
