g_B,lambda_det,block_gap_LB_units,gap_gt_3,ground_energy
0.6,0.0,21.58457967800711,True,-27.040575558703246
0.6,0.02,21.58434378028395,True,-27.04058597676846
0.6,0.05,21.583105673416846,True,-27.040640674231167
0.6,0.1,21.578688737209866,True,-27.040836058253603
0.6,0.2,21.561096493505488,True,-27.041618156312044
0.62,0.0,20.130840985511128,True,-25.22041728907785
0.62,0.02,20.13058785173645,True,-25.220428534788155
0.62,0.05,20.129259339470988,True,-25.22048757801568
0.62,0.1,20.124520672575684,True,-25.220698491245347
0.62,0.2,20.105659133535834,True,-25.221542840958225
0.64,0.0,18.805867322039987,True,-23.56168230345231
0.64,0.02,18.80559612982774,True,-23.561694430955914
0.64,0.05,18.804172911770532,True,-23.561758104359686
0.64,0.1,18.79909738888223,True,-23.561985564377906
0.64,0.2,18.778909593590843,True,-23.56289626467107
0.6599999999999999,0.0,17.594128492090388,True,-22.044933263639663
0.6599999999999999,0.02,17.593838376426255,True,-22.04494633228563
0.6599999999999999,0.05,17.592315931539126,True,-22.045014947607683
0.6599999999999999,0.1,17.586887681979334,True,-22.045260069967068
0.6599999999999999,0.2,17.56531431813748,True,-22.046241617324014
0.6799999999999999,0.0,16.482346186779836,True,-20.653554527411707
0.6799999999999999,0.02,16.482036235932984,True,-20.653568602493184
0.6799999999999999,0.05,16.480409801632494,True,-20.653642502713534
0.6799999999999999,0.1,16.474612142221957,True,-20.653906514965907
0.6799999999999999,0.2,16.451591383342244,True,-20.65496386069594
0.7,0.0,15.459114078243783,True,-19.37327621580326
0.7,0.02,15.458783329457106,True,-19.373291369410598
0.7,0.05,15.457047879656594,True,-19.373370933233037
0.7,0.1,15.450863245184532,True,-19.373655191040207
0.7,0.2,15.426330595946935,True,-19.374793807138815
0.72,0.0,14.514590829520737,True,-18.19178959044227
0.72,0.02,14.514238264485925,True,-18.191805902445253
0.72,0.05,14.512388486632535,True,-18.191891549461847
0.72,0.1,14.505798358370868,True,-18.192197555151385
0.72,0.2,14.47968651289407,True,-18.193423510269856
0.74,0.0,13.640250489185856,True,-17.098434284396095
0.74,0.02,13.63987502931315,True,-17.09845184357795
0.74,0.05,13.637905300497302,True,-17.0985440402326
0.74,0.1,13.630890133346206,True,-17.0988734642331
0.74,0.2,13.603128852108618,True,-17.100193511579143
