p,q,target_p,target_q,inside_K
0,0,1,0,True
0,1,1,1,True
0,1,0,0,True
1,0,2,0,True
1,0,0,1,True
0,2,1,2,True
0,2,0,1,True
1,1,2,1,True
1,1,0,2,True
1,1,1,0,True
2,0,3,0,True
2,0,1,1,True
0,3,1,3,True
0,3,0,2,True
1,2,2,2,True
1,2,0,3,True
1,2,1,1,True
2,1,3,1,True
2,1,1,2,True
2,1,2,0,True
3,0,4,0,True
3,0,2,1,True
0,4,1,4,True
0,4,0,3,True
1,3,2,3,True
1,3,0,4,True
1,3,1,2,True
2,2,3,2,True
2,2,1,3,True
2,2,2,1,True
3,1,4,1,True
3,1,2,2,True
3,1,3,0,True
4,0,5,0,True
4,0,3,1,True
0,5,1,5,True
0,5,0,4,True
1,4,2,4,True
1,4,0,5,True
1,4,1,3,True
2,3,3,3,True
2,3,1,4,True
2,3,2,2,True
3,2,4,2,True
3,2,2,3,True
3,2,3,1,True
4,1,5,1,True
4,1,3,2,True
4,1,4,0,True
5,0,6,0,True
5,0,4,1,True
0,6,1,6,True
0,6,0,5,True
1,5,2,5,True
1,5,0,6,True
1,5,1,4,True
2,4,3,4,True
2,4,1,5,True
2,4,2,3,True
3,3,4,3,True
3,3,2,4,True
3,3,3,2,True
4,2,5,2,True
4,2,3,3,True
4,2,4,1,True
5,1,6,1,True
5,1,4,2,True
5,1,5,0,True
6,0,7,0,True
6,0,5,1,True
0,7,1,7,True
0,7,0,6,True
1,6,2,6,True
1,6,0,7,True
1,6,1,5,True
2,5,3,5,True
2,5,1,6,True
2,5,2,4,True
3,4,4,4,True
3,4,2,5,True
3,4,3,3,True
4,3,5,3,True
4,3,3,4,True
4,3,4,2,True
5,2,6,2,True
5,2,4,3,True
5,2,5,1,True
6,1,7,1,True
6,1,5,2,True
6,1,6,0,True
7,0,8,0,True
7,0,6,1,True
0,8,1,8,False
0,8,0,7,True
1,7,2,7,False
1,7,0,8,True
1,7,1,6,True
2,6,3,6,False
2,6,1,7,True
2,6,2,5,True
3,5,4,5,False
3,5,2,6,True
3,5,3,4,True
4,4,5,4,False
4,4,3,5,True
4,4,4,3,True
5,3,6,3,False
5,3,4,4,True
5,3,5,2,True
6,2,7,2,False
6,2,5,3,True
6,2,6,1,True
7,1,8,1,False
7,1,6,2,True
7,1,7,0,True
8,0,9,0,False
8,0,7,1,True
