p,q,dimension,peter_weyl_multiplicity_dimension,C2_numerator,C2_denominator,C2
0,0,1,1,0,1,0.0
0,1,3,9,4,3,1.3333333333333333
1,0,3,9,4,3,1.3333333333333333
0,2,6,36,10,3,3.3333333333333335
1,1,8,64,3,1,3.0
2,0,6,36,10,3,3.3333333333333335
0,3,10,100,6,1,6.0
1,2,15,225,16,3,5.333333333333333
2,1,15,225,16,3,5.333333333333333
3,0,10,100,6,1,6.0
0,4,15,225,28,3,9.333333333333334
1,3,24,576,25,3,8.333333333333334
2,2,27,729,8,1,8.0
3,1,24,576,25,3,8.333333333333334
4,0,15,225,28,3,9.333333333333334
0,5,21,441,40,3,13.333333333333334
1,4,35,1225,12,1,12.0
2,3,42,1764,34,3,11.333333333333334
3,2,42,1764,34,3,11.333333333333334
4,1,35,1225,12,1,12.0
5,0,21,441,40,3,13.333333333333334
0,6,28,784,18,1,18.0
1,5,48,2304,49,3,16.333333333333332
2,4,60,3600,46,3,15.333333333333334
3,3,64,4096,15,1,15.0
4,2,60,3600,46,3,15.333333333333334
5,1,48,2304,49,3,16.333333333333332
6,0,28,784,18,1,18.0
0,7,36,1296,70,3,23.333333333333332
1,6,63,3969,64,3,21.333333333333332
2,5,81,6561,20,1,20.0
3,4,90,8100,58,3,19.333333333333332
4,3,90,8100,58,3,19.333333333333332
5,2,81,6561,20,1,20.0
6,1,63,3969,64,3,21.333333333333332
7,0,36,1296,70,3,23.333333333333332
0,8,45,2025,88,3,29.333333333333332
1,7,80,6400,27,1,27.0
2,6,105,11025,76,3,25.333333333333332
3,5,120,14400,73,3,24.333333333333332
4,4,125,15625,24,1,24.0
5,3,120,14400,73,3,24.333333333333332
6,2,105,11025,76,3,25.333333333333332
7,1,80,6400,27,1,27.0
8,0,45,2025,88,3,29.333333333333332
