g0,g_star,c,step_bound,q_after_bound,target_q,theorem_formula_nonnegative
0.2,5.656854249492381,0.01,2497,0.031249999999999997,0.031249999999999997,True
0.2,5.656854249492381,0.03,833,0.031249999999999997,0.031249999999999997,True
0.2,5.656854249492381,0.05,500,0.031249999999999997,0.031249999999999997,True
0.3,5.656854249492381,0.01,1108,0.031249999999999997,0.031249999999999997,True
0.3,5.656854249492381,0.03,370,0.031249999999999997,0.031249999999999997,True
0.3,5.656854249492381,0.05,222,0.031249999999999997,0.031249999999999997,True
0.5,5.656854249492381,0.01,397,0.031249999999999997,0.031249999999999997,True
0.5,5.656854249492381,0.03,133,0.031249999999999997,0.031249999999999997,True
0.5,5.656854249492381,0.05,80,0.031249999999999997,0.031249999999999997,True
1.0,5.656854249492381,0.01,97,0.031249999999999997,0.031249999999999997,True
1.0,5.656854249492381,0.03,33,0.031249999999999997,0.031249999999999997,True
1.0,5.656854249492381,0.05,20,0.031249999999999997,0.031249999999999997,True
