r,a,g0,gB_recovered,residual
4,0.0625,0.9619333502891999,1.2,0.0
5,0.03125,0.9216378161861795,1.2,0.0
6,0.015625,0.8860159385405708,1.2,0.0
7,0.0078125,0.8542289290741493,1.2,0.0
8,0.00390625,0.8256346737695411,1.2,0.0
9,0.001953125,0.7997321556920108,1.2,0.0
10,0.0009765625,0.7761239415628062,1.2000000000000002,2.220446049250313e-16
11,0.00048828125,0.754490179828262,1.2,0.0
12,0.000244140625,0.7345701556619629,1.2,0.0
13,0.0001220703125,0.7161489373249347,1.2,0.0
14,6.103515625e-05,0.6990475322222046,1.2,0.0
15,3.0517578125e-05,0.6831155121258818,1.2000000000000002,2.220446049250313e-16
16,1.52587890625e-05,0.6682254074833123,1.1999999999999997,2.220446049250313e-16
17,7.62939453125e-06,0.6542683902031413,1.2000000000000002,2.220446049250313e-16
18,3.814697265625e-06,0.641150908931372,1.1999999999999997,2.220446049250313e-16
19,1.9073486328125e-06,0.6287920380286883,1.2000000000000002,2.220446049250313e-16
20,9.5367431640625e-07,0.6171213679729916,1.2,0.0
