g,lambda,LB,E0,Delta0,eta0,delta0,A,delta_fraction,delta_star,x0,contraction_condition,infinite_self_energy_sum_bound,certified_Q_separation_floor,Q_separation_self_consistent,certified_gap_floor,positive_gap_floor,Acrit_delta_half
2.0,0.05,1.0,-0.2351445303519684,0.07430559546320256,1.125,8.901811197018635,20,0.5,4.450905598509317,5.055151025340916,False,inf,-inf,False,-inf,False,0.0
2.0,0.05,1.0,-0.2351445303519684,0.07430559546320256,1.125,8.901811197018635,100,0.5,4.450905598509317,25.27575512670458,False,inf,-inf,False,-inf,False,0.0
2.0,0.05,1.0,-0.2351445303519684,0.07430559546320256,1.125,8.901811197018635,200,0.5,4.450905598509317,50.55151025340916,False,inf,-inf,False,-inf,False,0.0
2.0,0.05,1.0,-0.2351445303519684,0.07430559546320256,1.125,8.901811197018635,400,0.5,4.450905598509317,101.10302050681832,False,inf,-inf,False,-inf,False,0.0
2.5,0.05,1.0,-0.2047883568679928,0.08941337752197517,0.72,15.591455023534657,20,0.5,7.795727511767328,1.847165640187371,False,inf,-inf,False,-inf,False,0.0
2.5,0.05,1.0,-0.2047883568679928,0.08941337752197517,0.72,15.591455023534657,100,0.5,7.795727511767328,9.235828200936856,False,inf,-inf,False,-inf,False,0.0
2.5,0.05,1.0,-0.2047883568679928,0.08941337752197517,0.72,15.591455023534657,200,0.5,7.795727511767328,18.471656401873712,False,inf,-inf,False,-inf,False,0.0
2.5,0.05,1.0,-0.2047883568679928,0.08941337752197517,0.72,15.591455023534657,400,0.5,7.795727511767328,36.943312803747425,False,inf,-inf,False,-inf,False,0.0
3.0,0.05,1.0,-0.20140111395336396,0.09627493491171944,0.5,23.312512225064474,20,0.5,11.656256112532237,0.8579083972982104,True,0.08124342372232345,23.150025377619826,True,-0.06621191253292745,False,17.358802900190764
3.0,0.05,1.0,-0.20140111395336396,0.09627493491171944,0.5,23.312512225064474,100,0.5,11.656256112532237,4.289541986491052,False,inf,-inf,False,-inf,False,17.358802900190764
3.0,0.05,1.0,-0.20140111395336396,0.09627493491171944,0.5,23.312512225064474,200,0.5,11.656256112532237,8.579083972982104,False,inf,-inf,False,-inf,False,17.358802900190764
3.0,0.05,1.0,-0.20140111395336396,0.09627493491171944,0.5,23.312512225064474,400,0.5,11.656256112532237,17.15816794596421,False,inf,-inf,False,-inf,False,17.358802900190764
3.5,0.05,1.0,-0.20053266164437294,0.09849348524002893,0.36734693877551017,32.21413810382124,20,0.5,16.10706905191062,0.4561313266760168,True,0.010578929918332546,32.19298024398458,True,0.07733562540336383,True,39.94361723740748
3.5,0.05,1.0,-0.20053266164437294,0.09849348524002893,0.36734693877551017,32.21413810382124,100,0.5,16.10706905191062,2.280656633380084,False,inf,-inf,False,-inf,False,39.94361723740748
3.5,0.05,1.0,-0.20053266164437294,0.09849348524002893,0.36734693877551017,32.21413810382124,200,0.5,16.10706905191062,4.561313266760168,False,inf,-inf,False,-inf,False,39.94361723740748
3.5,0.05,1.0,-0.20053266164437294,0.09849348524002893,0.36734693877551017,32.21413810382124,400,0.5,16.10706905191062,9.122626533520336,False,inf,-inf,False,-inf,False,39.94361723740748
4.0,0.05,1.0,-0.20023516423412058,0.09931688918287147,0.28125,42.36690183090079,20,0.5,21.183450915450393,0.2655374717958414,True,0.004017387271976435,42.358867056356836,True,0.09128211463891861,True,72.4317551595809
