group,N,d,g,beta_shen,beta_threshold,strong_coupling_condition,K_S,admissible_uniform_Hessian_perturbation_epsilon_lt
SU(2),2,4,6.997485262578264,0.020422834362644186,0.020833333333333332,True,0.019703950593079056,0.019703950593079056
SU(2),2,4,8.660254037844386,0.013333333333333336,0.020833333333333332,True,0.3599999999999999,0.3599999999999999
SU(2),2,4,10.392304845413264,0.009259259259259259,0.020833333333333332,True,0.5555555555555556,0.5555555555555556
SU(3),3,4,5.713422791987305,0.02042283436264418,0.020833333333333332,True,0.029555925889618972,0.029555925889618972
SU(3),3,4,7.0710678118654755,0.013333333333333334,0.020833333333333332,True,0.54,0.54
SU(3),3,4,8.485281374238571,0.009259259259259257,0.020833333333333332,True,0.8333333333333335,0.8333333333333335
SU(4),4,4,4.9479692804220194,0.020422834362644186,0.020833333333333332,True,0.03940790118615811,0.03940790118615811
SU(4),4,4,6.123724356957945,0.013333333333333334,0.020833333333333332,True,0.72,0.72
SU(4),4,4,8.0,0.0078125,0.020833333333333332,True,1.25,1.25
SU(5),5,4,4.425598264641742,0.020422834362644183,0.020833333333333332,True,0.04925987648269814,0.04925987648269814
SU(5),5,4,5.47722557505166,0.013333333333333336,0.020833333333333332,True,0.8999999999999997,0.8999999999999997
SU(5),5,4,8.0,0.00625,0.020833333333333332,True,1.75,1.75
SU(6),6,4,4.04,0.020422834362644183,0.020833333333333332,True,0.0591118517792375,0.0591118517792375
SU(6),6,4,5.0,0.013333333333333334,0.020833333333333332,True,1.08,1.08
SU(6),6,4,8.0,0.005208333333333333,0.020833333333333332,True,2.25,2.25
SU(7),7,4,3.740313203081108,0.020422834362644183,0.020833333333333332,True,0.06896382707577775,0.06896382707577775
SU(7),7,4,4.629100498862757,0.013333333333333336,0.020833333333333332,True,1.2599999999999998,1.2599999999999998
SU(7),7,4,8.0,0.004464285714285714,0.020833333333333332,True,2.75,2.75
SU(8),8,4,3.498742631289132,0.020422834362644186,0.020833333333333332,True,0.07881580237231622,0.07881580237231622
SU(8),8,4,4.330127018922193,0.013333333333333336,0.020833333333333332,True,1.4399999999999995,1.4399999999999995
SU(8),8,4,8.0,0.00390625,0.020833333333333332,True,3.25,3.25
